40TH SUPP IND,SUPPLEMENTAL,SUPPLEMENTAL,True
42ND SUPP IND,SUPPLEMENTAL,SUPPLEMENTAL,True
43RD SUPP IND,SUPPLEMENTAL,SUPPLEMENTAL,True
44TH SUPP IND,SUPPLEMENTAL,SUPPLEMENTAL,True
45TH SUPP IND,SUPPLEMENTAL,SUPPLEMENTAL,True
46TH SUPP IND,SUPPLEMENTAL,SUPPLEMENTAL,True
47TH SUP INDT,SUPPLEMENTAL,SUPPLEMENTAL,True
48TH SPL INDNTR,SUPPLEMENTAL,SUPPLEMENTAL,True
49TH SUP INDNTUR,SUPPLEMENTAL,SUPPLEMENTAL,True
4TH AMEND & EXTEN OG,AMENDMENT,AMENDMENT,True
4TH AMEND ASSIGN ETC,ASSIGNMENT,AMENDMENT,False
4TH AMEND JUDG OF PO,JUDGMENT,AMENDMENT,False
4TH AMEND LSE AGR,LEASE,AMENDMENT,False
4TH AMEND MTG ETC,MORTGAGE,AMENDMENT,False
4TH SUPPL OR#93-05 O,SUPPLEMENTAL,SUPPLEMENTAL,True
4TH SUPPL OR#SWD 83-,SUPPLEMENTAL,SUPPLEMENTAL,True
50TH SUP INDNTUR,SUPPLEMENTAL,SUPPLEMENTAL,True
51ST SUP INDNTR,SUPPLEMENTAL,SUPPLEMENTAL,True
52ND SUPP IND,SUPPLEMENTAL,SUPPLEMENTAL,True
53RD SPP INDNTR,SUPPLEMENTAL,SUPPLEMENTAL,True
54TH SPP INDENTR,SUPPLEMENTAL,SUPPLEMENTAL,True
56TH SUPP IND,SUPPLEMENTAL,SUPPLEMENTAL,True
56TH SUPP MTG,MORTGAGE,SUPPLEMENTAL,False
57TH SPPL IND,SUPPLEMENTAL,SUPPLEMENTAL,True
59TH SUPP INDENTURE,SUPPLEMENTAL,SUPPLEMENTAL,True
5TH AMEND CONVEY PRO,AMENDMENT,AMENDMENT,True
5TH AMEND MTG & ETC,MORTGAGE,AMENDMENT,False
5TH AMEND TO MTG ETC,MORTGAGE,AMENDMENT,False
5TH SUPP IND,SUPPLEMENTAL,SUPPLEMENTAL,True
5TH SUPPLE ORDER NO,SUPPLEMENTAL,SUPPLEMENTAL,True
63RD SUPPL INDENTURE,SUPPLEMENTAL,SUPPLEMENTAL,True
64TH SUPP INDENT,SUPPLEMENTAL,SUPPLEMENTAL,True
6TH AMEND CONVEY PRO,AMENDMENT,AMENDMENT,True
70TH SUPPL MTG,MORTGAGE,SUPPLEMENTAL,False
71ST SUPPL INDENTURE,SUPPLEMENTAL,SUPPLEMENTAL,True
72 ND SUPPLEMENTAL I,SUPPLEMENTAL,SUPPLEMENTAL,True
73RD SUPPLE INDENTUR,SUPPLEMENTAL,SUPPLEMENTAL,True
74TH SUPPL INDENT,SUPPLEMENTAL,SUPPLEMENTAL,True
75TH SUPPL INDENTURE,SUPPLEMENTAL,SUPPLEMENTAL,True
76TH SUPPL INDENT,SUPPLEMENTAL,SUPPLEMENTAL,True
77 SUPP INDENT,SUPPLEMENTAL,SUPPLEMENTAL,True
78TH SUPPLEMENTAL IN,SUPPLEMENTAL,SUPPLEMENTAL,True
79TH SUPPLEMENTAL IN,SUPPLEMENTAL,SUPPLEMENTAL,True
7TH AMD CONVEY PROD,AMENDMENT,AMENDMENT,True
80TH SUPPLEMENTAL IN,SUPPLEMENTAL,SUPPLEMENTAL,True
ABAN OF FAM HOME,ABANDONMENT,ABANDONMENT,True
ABAND OF CANAL,ABANDONMENT,ABANDONMENT,True
ABAND OF FAM HOME,ABANDONMENT,ABANDONMENT,True
ABAND/ RENUN,NOTICE,ABANDONMENT,False
ABANDMNT,ABANDONMENT,ABANDONMENT,True
ABANDMNT & ORDER,ABANDONMENT,ABANDONMENT,True
ABANDMT/ FAM HOME,ABANDONMENT,ABANDONMENT,True
ABANDON,ABANDONMENT,ABANDONMENT,True
ABANDON & PLAT,ABANDONMENT,ABANDONMENT,True
ABANDON & RELEASE OF,ABANDONMENT,ABANDONMENT,True
ABANDON -MENT,ABANDONMENT,ABANDONMENT,True
ABANDON MENT,ABANDONMENT,ABANDONMENT,True
ABANDON NOTICE,ABANDONMENT,ABANDONMENT,True
ABANDON ORDER,ABANDONMENT,ABANDONMENT,True
ABANDON R/W & PLAT,ABANDONMENT,ABANDONMENT,True
ABANDON STREET,ABANDONMENT,ABANDONMENT,True
ABANDON USUFRUCT & D,ABANDONMENT,ABANDONMENT,True
ABANDON- MENT,ABANDONMENT,ABANDONMENT,True
ABANDON- MENT ETC,ABANDONMENT,ABANDONMENT,True
ABANDONMENT,ABANDONMENT,ABANDONMENT,True
ABANDONMENT & PLAT,ABANDONMENT,ABANDONMENT,True
ABANDONMENT P/L R/WA,ABANDONMENT,ABANDONMENT,True
ABNDMNT,SUPPLEMENTAL,ABANDONMENT,False
ABNDMNT ORD ETC,NOTICE,ABANDONMENT,False
ABNDMNT ORDER,NOTICE,ABANDONMENT,False
ABNDNMNT,SUPPLEMENTAL,ABANDONMENT,False
ABNDNMNT ETC,ABANDONMENT,ABANDONMENT,True
ABST OF JUDG,JUDGMENT,JUDGMENT,True
ABSTRACT JUDG NTC,JUDGMENT,JUDGMENT,True
ABSTRACT OF JUDG,JUDGMENT,JUDGMENT,True
ABSTRACT SUP IND,SUPPLEMENTAL,SUPPLEMENTAL,True
ABSTRACT SUPP IND,SUPPLEMENTAL,SUPPLEMENTAL,True
ABSTRCT OF INVEN,NOTICE,MISCELLANEOUS,False
ABSTRCT OF JUDG,JUDGMENT,JUDGMENT,True
ACCEP OF DONA,ACCEPTANCE,ACCEPTANCE,True
ACCEPT,ACCEPTANCE,ACCEPTANCE,True
ACCEPT & ADDEND TO D,ACCEPTANCE,ACCEPTANCE,True
ACCEPT & CANC,ACCEPTANCE,ACCEPTANCE,True
ACCEPT & RATIF,ACCEPTANCE,ACCEPTANCE,True
ACCEPT - TRUSTEE,ACCEPTANCE,ACCEPTANCE,True
ACCEPT AFF,ACCEPTANCE,ACCEPTANCE,True
ACCEPT APPOINT TRUST,ACCEPTANCE,ACCEPTANCE,True
ACCEPT AS TRUSTEE,ACCEPTANCE,ACCEPTANCE,True
ACCEPT ASSIGN,ASSIGNMENT,ACCEPTANCE,False
ACCEPT DONA,ACCEPTANCE,ACCEPTANCE,True
ACCEPT DONATION,ACCEPTANCE,ACCEPTANCE,True
ACCEPT DONATION INTE,ACCEPTANCE,ACCEPTANCE,True
ACCEPT ETC,ACCEPTANCE,ACCEPTANCE,True
ACCEPT OF ACT OF TRA,ACCEPTANCE,ACCEPTANCE,True
ACCEPT OF APPT,ACCEPTANCE,ACCEPTANCE,True
ACCEPT OF DONA,ACCEPTANCE,ACCEPTANCE,True
ACCEPT OF DONATION,ACCEPTANCE,ACCEPTANCE,True
ACCEPT OF DONATION I,ACCEPTANCE,ACCEPTANCE,True
ACCEPT OF MANDATE,ACCEPTANCE,ACCEPTANCE,True
ACCEPT OF P/ATTY,ACCEPTANCE,ACCEPTANCE,True
ACCEPT OF POA,ACCEPTANCE,ACCEPTANCE,True
ACCEPT OF R/WS,ACCEPTANCE,ACCEPTANCE,True
ACCEPT OF TRUST,ACCEPTANCE,ACCEPTANCE,True
ACCEPT OF TRUSTEE,ACCEPTANCE,ACCEPTANCE,True
ACCEPT OF TRUSTEES,ACCEPTANCE,ACCEPTANCE,True
ACCEPT OF WORK,ACCEPTANCE,ACCEPTANCE,True
ACCEPT P/ATTY,ACCEPTANCE,ACCEPTANCE,True
ACCEPT P/ATTY ETC,ACCEPTANCE,ACCEPTANCE,True
ACCEPT Q/C DEED,ACCEPTANCE,ACCEPTANCE,True
ACCEPT SUCC TRUSTEE,ACCEPTANCE,ACCEPTANCE,True
ACCEPT/ AGREE,ACCEPTANCE,ACCEPTANCE,True
ACCEPT/ DONA,ACCEPTANCE,ACCEPTANCE,True
ACCEPT/ DONATION,ACCEPTANCE,ACCEPTANCE,True
ACCEPT/ PAR REL,ACCEPTANCE,ACCEPTANCE,True
ACCEPT/ SUB CMPL,ACCEPTANCE,ACCEPTANCE,True
ACCEPT/CANC,ACCEPTANCE,ACCEPTANCE,True
ACCEPTANCE,ACCEPTANCE,ACCEPTANCE,True
ACCEPTANCE BY TRUSTE,ACCEPTANCE,ACCEPTANCE,True
ACCEPTANCE DONATION,ACCEPTANCE,ACCEPTANCE,True
ACCEPTANCE OF APPOIN,ACCEPTANCE,ACCEPTANCE,True
ACCEPTANCE OF DONATI,ACCEPTANCE,ACCEPTANCE,True
ACCEPTANCE OF P/ATTY,ACCEPTANCE,ACCEPTANCE,True
ACCEPTANCE OF TRUSTE,ACCEPTANCE,ACCEPTANCE,True
ACCEPTANCE P/ATTY,ACCEPTANCE,ACCEPTANCE,True
ACCESS AGREE & PLAT,AGREEMENT,RIGHT OF WAY,False
ACCESS EASEMENT,SERVITUDE,RIGHT OF WAY,False
ACCESS SERV AGREE &,ACCEPTANCE,RIGHT OF WAY,False
ACCOUNTING/AGENT AGR,LEASE,AGREEMENT,False
ACCPT & RAT DONA,ACCEPTANCE,ACCEPTANCE,True
ACCPT CO TRUSTEE,TRUST,ACCEPTANCE,False
ACEPT P/ATTY,POWER OF ATTORNEY,ACCEPTANCE,False
ACK BY WITNESS,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACK INT PRESCRIP,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACK INTERRUPT OF PRE,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACK TO INT PRES,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACK/RELEASE TRUST,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKMWLGM,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN & INT PRSC,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN & RATIF,RATIFICATION,ACKNOWLEDGEMENT,False
ACKN & WAIVER,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN ETC,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN EXT MIN RIGHTS,NOTICE,ACKNOWLEDGEMENT,False
ACKN INTERRUPT PRESC,NOTICE,ACKNOWLEDGEMENT,False
ACKN LEASE TERM,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN MIN SRV & RENUN,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN OF EXT MIN RGHT,NOTICE,ACKNOWLEDGEMENT,False
ACKN OF LEASE TERM,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN OF LEGIT CHILD,NOTICE,ACKNOWLEDGEMENT,False
ACKN OF PATERNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN OF PATRNITY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN OF PATRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN OF PATRNTY AFF,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN OF PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN OF SERVITUDE,SERVITUDE,ACKNOWLEDGEMENT,False
ACKN OF TERM LEASE,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN R/W,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN R/W ETC,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN SEP PROP,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN SEP PROP ETC,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN SERV & RENUN PR,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN TO INT PRES,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN TO SEP PROP,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKN. PATERN.,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNDG PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNLDGM PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNLDMN,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNLGMN ETC,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNLMNT,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNO OF PATERNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW & AGREE,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW & DECL,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW & DISCLAIM,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW & JUDG,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW & JUDG PAT,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW & MODIFICA,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW & P/ATTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW & QC,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW & RATIF,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW & RELEASE,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW AGREE,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW BY WITNESS,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW ETC,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW INT PRES,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW INT PRS,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW INT PRSC,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW OF COMM,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW OF MTG,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW OF NOTE,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW OF PATRN,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW OF ROY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW OF SEP PROP,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW OGML,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW PATERN,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW PATERNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW PATRN,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW PATRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW PRTNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW PTNRTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW R/W,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW RATIF,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW SEP PROP,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW- LEDGMENT,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW- LEDGMNET,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW- LEGEMENT,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW- MENT,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW/ INT PRES,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW/ INTEREST,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOW/ RATIF,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOWL INT PRSC,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOWL MIN SERV,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOWL OF PATER,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOWL OF PATRN,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOWLEDGEMENT,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOWLEDGMENT,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOWLEDGMENT & INT,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNOWLEMENT & RATIF,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNW,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNW & DONATION,DONATION,ACKNOWLEDGEMENT,False
ACKNW & RATIF,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNW EN CRCHMNT,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNW OF BOUNDARY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNW OF ENCRCH,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNW OF PATERN,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNW OF PATERNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNW OF PATRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNW PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNW R/W,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNW, CONF ETC,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWD INDBTN,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWDDG PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWDG PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWG PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWL & DECL,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWL PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWLD MNRL SVT,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWLD PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWLD SEP PROP,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWLDG,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWLDG ETC,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWLDG INDBTDN,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWLDG PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWLDM,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWLDM PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWLG PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWLGM PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKNWLMN PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACKWLDG PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACNKWLDG PTRNTY,PLEDGE,ACKNOWLEDGEMENT,False
ACNKWLGM PTRNTY,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACNWD,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACNWD OF P/ATTY,POWER OF ATTORNEY,ACKNOWLEDGEMENT,False
ACNWD OF RECEIPT & R,RECEIPT,ACKNOWLEDGEMENT,False
ACQUISITION,NOTICE,NOTICE,True
ACT ACKNOW & INTERUP,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACT CONTRIBUTION,NOTICE,TRANSFER,False
ACT CONTRIBUTION OF,NOTICE,TRANSFER,False
ACT CONVEY & CONTRIB,CASH SALE,TRANSFER,False
ACT INT PRESC,NOTICE,AFFIDAVIT,False
ACT OF - CONSENT,JUDGMENT,AGREEMENT,False
ACT OF ACKNOW,ACKNOWLEDGMENT,ACKNOWLEDGEMENT,False
ACT OF ADOPTION,CORRECTION,ADOPTION,False
ACT OF ASSIGN,ASSIGNMENT,ASSIGNMENT,True
ACT OF CLARIF,NOTICE,AFFIDAVIT,False
ACT OF CLARIFIC,CORRECTION,AFFIDAVIT,False
ACT OF CLARIFICATION,NOTICE,AFFIDAVIT,False
ACT OF CONFIRMATION,NOTICE,AFFIDAVIT,False
ACT OF CONTRIB,CORRECTION,TRANSFER,False
ACT OF CONTRIB & EXC,CORRECTION,TRANSFER,False
ACT OF CONTRIB EXCH,CORRECTION,TRANSFER,False
ACT OF CONTRIB MIN I,CORRECTION,TRANSFER,False
ACT OF CONTRIBUTION,NOTICE,TRANSFER,False
ACT OF CONV & ASSUMP,SALE & ASSUMPTION,TRANSFER,False
ACT OF CONVEY,CASH SALE,TRANSFER,False
